lambda	n	k
637	1.444865	1.58E-04
638	1.444831	1.58E-04
639	1.444798	1.57E-04
640	1.444765	1.56E-04
641	1.444732	1.56E-04
642	1.444699	1.55E-04
643	1.444666	1.54E-04
644	1.444633	1.54E-04
645	1.444601	1.53E-04
646	1.444569	1.52E-04
647	1.444536	1.51E-04
648	1.444504	1.51E-04
649	1.444472	1.50E-04
650	1.444441	1.49E-04
651	1.444409	1.49E-04
652	1.444378	1.48E-04
653	1.444346	1.47E-04
654	1.444315	1.47E-04
655	1.444284	1.46E-04
656	1.444253	1.45E-04
657	1.444223	1.45E-04
658	1.444192	1.44E-04
659	1.444162	1.43E-04
660	1.444131	1.43E-04
661	1.444101	1.42E-04
662	1.444071	1.42E-04
663	1.444041	1.41E-04
664	1.444011	1.40E-04
665	1.443982	1.40E-04
666	1.443952	1.39E-04
667	1.443923	1.38E-04
668	1.443894	1.38E-04
669	1.443865	1.37E-04
670	1.443836	1.36E-04
671	1.443807	1.36E-04
672	1.443778	1.35E-04
673	1.443749	1.34E-04
674	1.443721	1.34E-04
675	1.443693	1.33E-04
676	1.443664	1.33E-04
677	1.443636	1.32E-04
678	1.443608	1.31E-04
679	1.443581	1.31E-04
680	1.443553	1.30E-04
681	1.443525	1.29E-04
682	1.443498	1.29E-04
683	1.44347	1.28E-04
684	1.443443	1.28E-04
685	1.443416	1.27E-04
686	1.443389	1.26E-04
687	1.443362	1.26E-04
688	1.443335	1.25E-04
689	1.443309	1.25E-04
690	1.443282	1.24E-04
691	1.443256	1.23E-04
692	1.44323	1.23E-04
693	1.443203	1.22E-04
694	1.443177	1.22E-04
695	1.443151	1.21E-04
696	1.443126	1.20E-04
697	1.4431	1.20E-04
698	1.443074	1.19E-04
699	1.443049	1.19E-04
700	1.443023	1.18E-04
701	1.442998	1.17E-04
702	1.442973	1.17E-04
703	1.442948	1.16E-04
704	1.442923	1.16E-04
705	1.442898	1.15E-04
706	1.442873	1.15E-04
707	1.442848	1.14E-04
708	1.442824	1.13E-04
709	1.442799	1.13E-04
710	1.442775	1.12E-04
711	1.442751	1.12E-04
712	1.442727	1.11E-04
713	1.442703	1.11E-04
714	1.442679	1.10E-04
715	1.442655	1.10E-04
716	1.442631	1.09E-04
717	1.442608	1.08E-04
718	1.442584	1.08E-04
719	1.442561	1.07E-04
720	1.442537	1.07E-04
721	1.442514	1.06E-04
722	1.442491	1.06E-04
723	1.442468	1.05E-04
724	1.442445	1.05E-04
725	1.442422	1.04E-04
726	1.442399	1.04E-04
727	1.442377	1.03E-04
728	1.442354	1.03E-04
729	1.442331	1.02E-04
730	1.442309	1.02E-04
731	1.442287	1.01E-04
732	1.442265	1.01E-04
733	1.442242	1.00E-04
734	1.44222	9.95E-05
735	1.442198	9.90E-05
736	1.442177	9.84E-05
737	1.442155	9.79E-05
738	1.442133	9.74E-05
739	1.442112	9.69E-05
740	1.44209	9.64E-05
741	1.442069	9.59E-05
742	1.442047	9.54E-05
743	1.442026	9.49E-05
744	1.442005	9.44E-05
745	1.441984	9.39E-05
746	1.441963	9.35E-05
747	1.441942	9.30E-05
748	1.441921	9.25E-05
749	1.4419	0.000092
750	1.44188	9.15E-05
751	1.441859	9.10E-05
752	1.441839	9.06E-05
753	1.441818	9.01E-05
754	1.441798	8.96E-05
755	1.441778	8.91E-05
756	1.441758	8.87E-05
757	1.441738	8.82E-05
758	1.441718	8.77E-05
759	1.441698	8.73E-05
760	1.441678	8.68E-05
761	1.441658	8.63E-05
762	1.441638	8.59E-05
763	1.441619	8.54E-05
764	1.441599	8.50E-05
765	1.44158	8.45E-05
766	1.44156	8.41E-05
767	1.441541	8.36E-05
768	1.441522	8.32E-05
769	1.441503	8.27E-05
770	1.441484	8.23E-05
771	1.441465	8.18E-05
772	1.441446	8.14E-05
773	1.441427	8.10E-05
774	1.441408	8.05E-05
775	1.441389	8.01E-05
776	1.441371	7.97E-05
777	1.441352	7.92E-05
778	1.441334	7.88E-05
779	1.441315	7.84E-05
780	1.441297	7.80E-05
781	1.441278	7.75E-05
782	1.44126	7.71E-05
783	1.441242	7.67E-05
784	1.441224	7.63E-05
785	1.441206	7.59E-05
786	1.441188	7.55E-05
787	1.44117	7.50E-05
788	1.441152	7.46E-05
789	1.441135	7.42E-05
790	1.441117	7.38E-05
791	1.441099	7.34E-05
792	1.441082	7.30E-05
793	1.441064	7.26E-05
794	1.441047	7.22E-05
795	1.44103	7.18E-05
796	1.441012	7.14E-05
797	1.440995	7.10E-05
798	1.440978	7.06E-05
799	1.440961	7.02E-05
800	1.440944	6.99E-05
801	1.440927	6.95E-05
802	1.44091	6.91E-05
803	1.440893	6.87E-05
804	1.440877	6.83E-05
805	1.44086	6.79E-05
806	1.440843	6.76E-05
807	1.440827	6.72E-05
808	1.44081	6.68E-05
809	1.440794	6.65E-05
810	1.440777	6.61E-05
811	1.440761	6.57E-05
812	1.440745	6.53E-05
813	1.440728	6.50E-05
814	1.440712	6.46E-05
815	1.440696	6.43E-05
816	1.44068	6.39E-05
817	1.440664	6.35E-05
818	1.440648	6.32E-05
819	1.440632	6.28E-05
820	1.440617	6.25E-05
821	1.440601	6.21E-05
822	1.440585	6.18E-05
823	1.44057	6.14E-05
824	1.440554	6.11E-05
825	1.440539	6.07E-05
