lambda	n	k
783	2.284745	6.18E-09
784	2.284634	5.98E-09
785	2.284524	5.78E-09
786	2.284414	5.59E-09
787	2.284305	5.40E-09
788	2.284197	5.22E-09
789	2.28409	5.05E-09
790	2.283983	4.88E-09
791	2.283877	4.72E-09
792	2.283771	4.56E-09
793	2.283666	4.41E-09
794	2.283562	4.26E-09
795	2.283459	4.12E-09
796	2.283356	3.99E-09
797	2.283254	3.85E-09
798	2.283152	3.73E-09
799	2.283051	3.60E-09
800	2.282951	3.48E-09
801	2.282851	3.37E-09
802	2.282752	3.25E-09
803	2.282654	3.15E-09
804	2.282556	3.04E-09
805	2.282459	2.94E-09
806	2.282362	2.84E-09
807	2.282266	2.75E-09
808	2.282171	2.66E-09
809	2.282076	2.57E-09
810	2.281981	2.48E-09
811	2.281888	2.40E-09
812	2.281795	2.32E-09
813	2.281702	2.24E-09
814	2.28161	2.17E-09
815	2.281519	2.10E-09
816	2.281428	2.03E-09
817	2.281338	1.96E-09
818	2.281248	1.89E-09
819	2.281159	1.83E-09
820	2.28107	1.77E-09
821	2.280982	1.71E-09
822	2.280894	1.66E-09
823	2.280807	1.60E-09
824	2.280721	1.55E-09
825	2.280635	1.50E-09
826	2.280549	1.45E-09
827	2.280464	1.40E-09
828	2.28038	1.35E-09
829	2.280296	1.31E-09
830	2.280213	1.26E-09
831	2.28013	1.22E-09
832	2.280047	1.18E-09
833	2.279965	1.14E-09
834	2.279884	1.10E-09
835	2.279803	1.07E-09
836	2.279722	1.03E-09
837	2.279642	9.97E-10
838	2.279563	9.64E-10
839	2.279484	9.32E-10
840	2.279405	9.01E-10
841	2.279327	8.71E-10
842	2.27925	8.42E-10
843	2.279172	8.14E-10
844	2.279096	7.87E-10
845	2.279019	7.61E-10
846	2.278944	7.36E-10
847	2.278868	7.11E-10
848	2.278793	6.87E-10
849	2.278719	6.65E-10
850	2.278645	6.43E-10
851	2.278571	6.21E-10
852	2.278498	6.01E-10
853	2.278425	5.81E-10
854	2.278353	5.61E-10
855	2.278281	5.43E-10
856	2.278209	5.25E-10
857	2.278138	5.07E-10
858	2.278068	4.90E-10
859	2.277997	4.74E-10
860	2.277928	4.58E-10
861	2.277858	4.43E-10
862	2.277789	4.28E-10
863	2.27772	4.14E-10
864	2.277652	4.00E-10
