lambda	n	k
0.50209571	4.812744283	0.755001676
0.502745181	4.81071368	0.775084582
0.503396334	4.810542152	0.795830258
0.504045077	4.81239303	0.81709037
0.504695495	4.816425639	0.838681068
0.505345534	4.822783467	0.860383849
0.505995184	4.831585709	0.881941304
0.506646507	4.84292279	0.903062095
0.507295358	4.856841222	0.923421169
0.507945872	4.873337978	0.942668048
0.508595971	4.89235148	0.960438967
0.509245644	4.913754714	0.976363347
0.509894882	4.937348324	0.990080035
0.510545778	4.962869183	1.001254479
0.51119623	4.989985018	1.009594214
0.511846228	5.018307967	1.014861988
0.512495763	5.047406123	1.016891622
0.513144825	5.076820255	1.015595341
0.513795533	5.106081872	1.010970864
0.514445758	5.134731538	1.003099181
0.515095492	5.16233718	0.992141703
0.515746869	5.188512018	0.978328658
0.516395593	5.212925203	0.961945511
0.517045952	5.235311006	0.943319316
0.517695789	5.255471176	0.922804034
0.518345095	5.273277541	0.900758582
0.518996032	5.288666128	0.877541688
0.519646427	5.301628008	0.853492549
0.520296271	5.312206794	0.828927632
0.520945554	5.320484304	0.804128864
0.521596459	5.326574256	0.779348001
0.522246793	5.33061042	0.754796296
0.522896546	5.332741711	0.730653238
0.523545706	5.333125527	0.707062862
0.524196481	5.33191693	0.684140441
0.524846653	5.329272433	0.661970287
0.525496213	5.325338559	0.640617486
0.52614515	5.320257876	0.620124076
0.526795692	5.314158352	0.600515602
0.5274456	5.307161797	0.581804384
0.528094865	5.299376912	0.563990833
0.52874573	5.290900111	0.54706854
0.529395941	5.281819375	0.53102346
0.530045487	5.272212847	0.515837482
0.530696629	5.262147889	0.501488186
0.531344819	5.251684399	0.487953922
0.531994594	5.240871638	0.475211028
0.53264596	5.229754925	0.4632349
0.533296629	5.218370385	0.452006053
0.53394659	5.206750878	0.441502782
0.534595832	5.194919752	0.431707342
0.535246655	5.182900412	0.422607001
0.535896749	5.170709158	0.414189802
0.536546101	5.158360427	0.406450854
0.537194702	5.145864562	0.399389641
0.537844872	5.133230705	0.393010779
0.538496619	5.120465945	0.38732608
0.539145258	5.107580275	0.382356203
0.539795461	5.094581745	0.378131139
0.540444878	5.081484343	0.374690715
0.541095861	5.068306358	0.372087807
0.541746046	5.055077375	0.370388
0.542395422	5.041841917	0.369675414
0.543046358	5.028667322	0.370047347
0.543696473	5.015650632	0.371619783
0.544345757	5.002938725	0.374520877
0.544996593	4.990737493	0.378880877
0.545646587	4.979336894	0.384819312
0.546295725	4.969130087	0.392407718
0.54694641	4.960623802	0.401619853
0.547596228	4.95443262	0.412253058
0.548245168	4.951218567	0.423834046
0.548895648	4.951563125	0.435531154
0.549545237	4.955743399	0.446141945
0.550196366	4.963486633	0.454235131
0.550846592	4.973798883	0.458481546
0.551495903	4.985061216	0.45809969
0.552146747	4.995421208	0.453169994
0.552796665	5.003327133	0.444626134
0.553445644	5.007904629	0.433911019
0.554096148	5.009040328	0.422534031
0.554745701	5.007202715	0.41172689
